x,y
0,0
0.839,0.25
1,0.27
1.25,0.29
1.5,0.3
1.67,0.315
1.75,0.32
2,0.34
2.335,0.36
2.5,0.38
2.75,0.4
2.982,0.42
3.25,0.43
3.4,0.45
3.769,0.47
4,0.49
4.25,0.51
4.516,0.53
4.75,0.55
5.085,0.57
5.25,0.59
5.5,0.6
5.75,0.62
6.012,0.63
6.25,0.64
6.5,0.65
6.75,0.65
7,0.66
7.279,0.67
7.5,0.68
7.75,0.69
8,0.7
8.25,0.72
8.571,0.73
9,0.74
9.5,0.76
10.078,0.77
10.5,0.78
11,0.79
11.5,0.81
11.92,0.83
12.5,0.83
13,0.84
13.5,0.85
14,0.86
14.5,0.87
15.264,0.88
15.5,0.88
16,0.89
16.5,0.9
17,0.9
17.5,0.91
18,0.91
18.5,0.92
19,0.92
19.5,0.93
20,0.93
21,0.93
22,0.93
23,0.93
24,0.94
24.25,0.942
24.5,0.945
24.75,0.949
24.9,0.95
25,0.95
